127.0.0.1 - - [28/Feb/2024:14:28:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:28:34 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:28:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:28:49 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:28:56 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:29:16 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:29:21 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:29:26 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:29:29 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:29:33 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:29:35 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:29:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:29:42 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:29:51 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:29:55 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:29:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:36:14 +0900] "GET /JSP02/Ex02createinput.jsp HTTP/1.1" 500 2607
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:36:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:36:26 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:36:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:38:01 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:38:27 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:38:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:39:00 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:39:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:39:03 +0900] "GET /JSP02/Ex02createinput.jsp HTTP/1.1" 500 2611
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:39:32 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:39:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:39:34 +0900] "GET /JSP02/Ex02createinput.jsp HTTP/1.1" 500 2611
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:39:54 +0900] "GET /JSP02/Ex02createinput.jsp HTTP/1.1" 500 2611
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:40:23 +0900] "GET /JSP02/Ex02createinput.jsp HTTP/1.1" 500 2612
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:40:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:40:26 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:40:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:40:28 +0900] "GET /JSP02/Ex02createinput.jsp HTTP/1.1" 500 2612
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:41:37 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:41:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:41:39 +0900] "GET /JSP02/Ex02createinput.jsp HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:42:56 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:42:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:42:58 +0900] "GET /JSP02/Ex02createinput.jsp?data=5 HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:43:44 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:43:46 +0900] "GET /JSP02/Ex02createinput.jsp?data=5 HTTP/1.1" 500 2779
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:44:10 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:44:12 +0900] "GET /JSP02/Ex02createinput.jsp?data=5 HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:45:32 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:45:33 +0900] "GET /JSP02/Ex02createinput.jsp?data= HTTP/1.1" 500 2765
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:45:35 +0900] "GET /JSP02/Ex02createinput.jsp?data=5 HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:47:34 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:47:37 +0900] "GET /JSP02/Ex02createinput.jsp?data=5 HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:48:17 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:48:20 +0900] "GET /JSP02/Ex02createinput.jsp?data=5 HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:48:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:48:40 +0900] "GET /JSP02/Ex02createinput.jsp?data=5 HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:50:11 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:50:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:50:58 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:50:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:51:10 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:51:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:51:28 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:51:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:51:35 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:51:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:51:40 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:51:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:52:04 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:52:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:52:06 +0900] "POST /JSP02/Ex02createinput.jsp HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:52:42 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:52:57 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:52:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:53:55 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:53:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:53:56 +0900] "POST /JSP02/Ex02createinput.jsp HTTP/1.1" 500 2885
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:53:59 +0900] "POST /JSP02/Ex02createinput.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:56:52 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:56:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:56:54 +0900] "POST /JSP02/Ex02createinput.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:56:59 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=asd&item=q&item=w&item=e&item=r&item=t HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:59:36 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:59:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:59:37 +0900] "POST /JSP02/Ex02createinput.jsp HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:59:40 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=asd&item=1&item=2 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:59:42 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=asd&item=1&item=2 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:06:13 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:06:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:06:15 +0900] "POST /JSP02/Ex02createinput.jsp HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:06:18 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=asdq&item=1&item=2&item=3 HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:12:09 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:12:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:12:11 +0900] "POST /JSP02/Ex02createinput.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:12:15 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=asd&item=1&item=2&item=3&item=4&item=5 HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:13:49 +0900] "POST /JSP02/Ex02createinput.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:13:53 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=asd&item=1&item=2&item=3&item=4&item=5 HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:19:49 +0900] "GET /JSP02/Ex02createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:19:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:19:51 +0900] "POST /JSP02/Ex02createinput.jsp HTTP/1.1" 500 2885
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:19:54 +0900] "POST /JSP02/Ex02createinput.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:20:02 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=%EC%98%A4%EB%8A%98+%EC%A0%90%EC%8B%AC+%EB%A9%94%EB%89%B4%EB%8A%94%3F&item=%ED%94%BC%EC%9E%90&item=&item=&item=&item= HTTP/1.1" 500 2420
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:20:11 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=%EC%98%A4%EB%8A%98+%EC%A0%90%EC%8B%AC+%EB%A9%94%EB%89%B4%EB%8A%94%3F&item=%ED%94%BC%EC%9E%90&item=%EC%B9%98%ED%82%A8&item=%EC%9E%90%EC%9E%A5%EB%A9%B4&item=%EA%B9%80%EB%B0%A5%EB%82%98%EB%9D%BC&item=%EB%9D%BC%EB%A9%B4 HTTP/1.1" 500 2420
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:20:31 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=%EC%98%A4%EB%8A%98+%EC%A0%90%EC%8B%AC+%EB%A9%94%EB%89%B4%EB%8A%94%3F&item=%ED%94%BC%EC%9E%90&item=%EC%B9%98%ED%82%A8&item=%EC%9E%90%EC%9E%A5%EB%A9%B4&item=%EA%B9%80%EB%B0%A5%EB%82%98%EB%9D%BC&item=%EB%9D%BC%EB%A9%B4 HTTP/1.1" 500 2420
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:20:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:21:07 +0900] "POST /JSP02/Ex02createinput.jsp HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:21:10 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=asda&item=1&item=2&item=3 HTTP/1.1" 500 2461
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:21:52 +0900] "POST /JSP02/Ex02createinput.jsp HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:21:55 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=asd&item=1&item=2&item=3 HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:22:30 +0900] "POST /JSP02/Ex02createinput.jsp HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:22:33 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=asd&item=1&item=2&item=3 HTTP/1.1" 500 2243
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:22:48 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=asd&item=1&item=2&item=3 HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:23:24 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=asd&item=1&item=2&item=3 HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:24:31 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=asd&item=1&item=2&item=3 HTTP/1.1" 500 2450
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:24:58 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=asd&item=1&item=2&item=3 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:25:01 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=asd&item=1&item=2&item=3 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:25:02 +0900] "GET /JSP02/Ex02randomWinner.jsp?title=asd&item=1&item=2&item=3 HTTP/1.1" 200 210
